Epoch: 192   |   Top1: 63.02703%   |   Top5: 95.78378%   |   Top10: 98.16216%
Epoch: 193   |   Top1: 64.43243%   |   Top5: 94.91892%   |   Top10: 98.48649%
Epoch: 194   |   Top1: 60.97297%   |   Top5: 92.43243%   |   Top10: 97.2973%
Epoch: 195   |   Top1: 63.56757%   |   Top5: 94.27027%   |   Top10: 97.62162%
Epoch: 196   |   Top1: 62.05405%   |   Top5: 94.91892%   |   Top10: 98.05405%
Epoch: 197   |   Top1: 60.97297%   |   Top5: 94.91892%   |   Top10: 98.48649%
Epoch: 198   |   Top1: 65.94595%   |   Top5: 96.75676%   |   Top10: 98.91892%
Epoch: 199   |   Top1: 66.16216%   |   Top5: 96.0%   |   Top10: 98.81081%
Epoch: 200   |   Top1: 65.51351%   |   Top5: 96.75676%   |   Top10: 98.48649%
Epoch: 201   |   Top1: 64.64865%   |   Top5: 96.21622%   |   Top10: 98.27027%
Epoch: 202   |   Top1: 66.27027%   |   Top5: 97.18919%   |   Top10: 99.24324%
Epoch: 203   |   Top1: 64.21622%   |   Top5: 95.67568%   |   Top10: 98.27027%
Epoch: 204   |   Top1: 64.75676%   |   Top5: 94.05405%   |   Top10: 98.16216%
Epoch: 205   |   Top1: 60.86486%   |   Top5: 92.97297%   |   Top10: 97.40541%
Epoch: 206   |   Top1: 66.81081%   |   Top5: 96.0%   |   Top10: 98.7027%
Epoch: 207   |   Top1: 66.59459%   |   Top5: 96.64865%   |   Top10: 99.13514%
Epoch: 208   |   Top1: 62.27027%   |   Top5: 94.91892%   |   Top10: 97.72973%
Epoch: 209   |   Top1: 68.10811%   |   Top5: 96.75676%   |   Top10: 99.02703%
Epoch: 210   |   Top1: 65.08108%   |   Top5: 95.02703%   |   Top10: 97.72973%
Epoch: 211   |   Top1: 66.37838%   |   Top5: 97.62162%   |   Top10: 99.13514%
Epoch: 212   |   Top1: 67.13514%   |   Top5: 96.97297%   |   Top10: 99.35135%
Epoch: 213   |   Top1: 67.45946%   |   Top5: 96.97297%   |   Top10: 99.13514%
Epoch: 214   |   Top1: 67.13514%   |   Top5: 96.32432%   |   Top10: 99.24324%
Epoch: 215   |   Top1: 64.86486%   |   Top5: 95.35135%   |   Top10: 98.05405%
Epoch: 216   |   Top1: 63.45946%   |   Top5: 94.16216%   |   Top10: 96.54054%
Epoch: 217   |   Top1: 61.51351%   |   Top5: 94.16216%   |   Top10: 97.94595%
Epoch: 218   |   Top1: 68.75676%   |   Top5: 96.43243%   |   Top10: 98.91892%
Epoch: 219   |   Top1: 67.67568%   |   Top5: 97.08108%   |   Top10: 98.91892%
Epoch: 220   |   Top1: 66.81081%   |   Top5: 97.18919%   |   Top10: 99.02703%
Epoch: 221   |   Top1: 66.05405%   |   Top5: 96.86486%   |   Top10: 98.37838%
Epoch: 222   |   Top1: 67.67568%   |   Top5: 97.40541%   |   Top10: 99.56757%
Epoch: 223   |   Top1: 66.27027%   |   Top5: 96.32432%   |   Top10: 99.24324%
Epoch: 224   |   Top1: 64.75676%   |   Top5: 96.10811%   |   Top10: 99.13514%
Epoch: 225   |   Top1: 66.81081%   |   Top5: 96.10811%   |   Top10: 99.13514%
Epoch: 226   |   Top1: 57.08108%   |   Top5: 88.97297%   |   Top10: 95.13514%
Epoch: 227   |   Top1: 64.86486%   |   Top5: 94.48649%   |   Top10: 99.13514%
Epoch: 228   |   Top1: 63.35135%   |   Top5: 92.86486%   |   Top10: 97.83784%
Epoch: 229   |   Top1: 54.7027%   |   Top5: 91.67568%   |   Top10: 96.10811%
Epoch: 230   |   Top1: 68.10811%   |   Top5: 97.18919%   |   Top10: 99.24324%
Epoch: 231   |   Top1: 64.86486%   |   Top5: 95.45946%   |   Top10: 98.59459%
Epoch: 232   |   Top1: 63.02703%   |   Top5: 93.83784%   |   Top10: 98.05405%
Epoch: 233   |   Top1: 67.02703%   |   Top5: 97.18919%   |   Top10: 99.35135%
Epoch: 234   |   Top1: 64.43243%   |   Top5: 95.56757%   |   Top10: 97.51351%
Epoch: 235   |   Top1: 67.35135%   |   Top5: 97.62162%   |   Top10: 99.45946%
Epoch: 236   |   Top1: 70.7027%   |   Top5: 97.72973%   |   Top10: 99.67568%
Epoch: 237   |   Top1: 67.56757%   |   Top5: 97.08108%   |   Top10: 99.78378%
Epoch: 238   |   Top1: 64.10811%   |   Top5: 95.78378%   |   Top10: 98.81081%
Epoch: 239   |   Top1: 67.78378%   |   Top5: 97.72973%   |   Top10: 99.35135%
Epoch: 240   |   Top1: 67.13514%   |   Top5: 95.56757%   |   Top10: 98.48649%
Epoch: 241   |   Top1: 66.91892%   |   Top5: 97.08108%   |   Top10: 99.02703%
Epoch: 242   |   Top1: 68.97297%   |   Top5: 97.62162%   |   Top10: 99.13514%
Epoch: 243   |   Top1: 67.78378%   |   Top5: 96.54054%   |   Top10: 98.48649%
Epoch: 244   |   Top1: 67.13514%   |   Top5: 96.10811%   |   Top10: 98.81081%
Epoch: 245   |   Top1: 66.16216%   |   Top5: 96.21622%   |   Top10: 98.27027%
Epoch: 246   |   Top1: 65.18919%   |   Top5: 96.0%   |   Top10: 98.59459%
Epoch: 247   |   Top1: 65.72973%   |   Top5: 95.89189%   |   Top10: 98.16216%
Epoch: 248   |   Top1: 65.83784%   |   Top5: 95.24324%   |   Top10: 97.72973%
